artist,song,duration [min],release year,key,tempo [bpm],genre
Trapt,Headstrong,4.759483333333334,2002,E,184.981,rock
Simply Red,Sunrise,3.3173333333333335,2008,F,105.987,rock
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",3.0817666666666668,2003,F#,199.958,pop
Girls Aloud,Sound Of The Underground,3.6904333333333335,2003,B,163.944,pop
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,4.894433333333334,2016,C#,87.025,hip hop
Room 5,Make Luv,3.540216666666667,2003,C#,124.814,Dance/Electronic
Fatman Scoop,Be Faithful,2.7417666666666665,2009,G,101.129,hip hop
Limp Bizkit,Behind Blue Eyes,4.49955,2003,G,120.315,metal
Sugababes,Too Lost In You,3.96155,2003,C#,98.014,pop
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",3.6566666666666667,2003,C#,81.008,hip hop
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,3.9417666666666666,2003,A,102.009,hip hop
Chingy,Right Thurr,4.1791,2003,D,92.074,hip hop
Eminem,Sing For The Moment,5.6591,2002,F,163.961,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,3.9133333333333336,2003,C#,104.946,hip hop
Mýa,My Love Is Like...Wo - Main Mix,3.4922166666666667,2003,E,132.817,pop
50 Cent,21 Questions,3.740666666666667,2003,F#,92.729,hip hop
Nelly,Air Force Ones,5.066666666666666,2002,E,164.062,hip hop
Missy Elliott,Gossip Folks (feat. Ludacris),3.9148833333333335,2002,C,121.732,hip hop
Girls Aloud,Jump,3.6726666666666667,2003,G#,134.465,pop
Ultrabeat,Pretty Green Eyes - Radio Edit,3.3653333333333335,2003,C#,139.993,pop
Christina Aguilera,Fighter,4.099333333333333,2002,E,188.899,pop
Frankie J,Don't Wanna Try,4.088216666666667,2003,F,130.127,hip hop
Snoop Dogg,Beautiful,4.985766666666667,2005,B,101.025,hip hop
Floetry,Say Yes,4.472883333333334,2002,F,117.901,hip hop
Ginuwine,In Those Jeans,4.0551,2003,C#,127.683,hip hop
Electric Six,Danger! High Voltage - Soulchild Radio Mix,3.5766666666666667,2003,B,123.005,rock
